jaar;beheer;V1
2017;baggeren_schonen_nvo;52
2021;baggeren;62
2020;afrastering_schonen;4
2021;randen;44
2020;regulier;98
2021;baggeren_schonen_nvo;9
2018;regulier;90
2019;regulier;101
2018;baggeren;84
2018;baggeren_schonen_nvo;4
2018;afrastering_schonen;4
2020;randen;61
2017;nvo;15
2017;schonen_nvo;52
2020;baggeren;51
2021;regulier;87
2019;nvo;18
2018;afrastering;3
2021;baggeren_schonen;28
2020;afrastering_baggeren_schonen;8
2020;schonen;26
2019;baggeren;46
2018;schonen;7
2017;baggeren_nvo;22
2021;schonen;21
2021;afrastering_schonen;11
2021;schonen_nvo;9
2019;afrastering_baggeren_schonen_nvo;4
2019;schonen;13
2020;afrastering;8
2020;baggeren_schonen;31
2018;baggeren_nvo;4
2019;baggeren_schonen_nvo;15
2019;baggeren_nvo;8
2019;afrastering_nvo;2
2020;baggeren_schonen_nvo;4
2018;randen;53
2018;baggeren_schonen;7
2018;nvo;8
2021;afrastering_baggeren;5
2019;baggeren_schonen;25
2017;baggeren_schonen;1
2021;nvo;6
2020;nvo;6
2019;randen;18
2021;afrastering_schonen_nvo;3
2019;afrastering_baggeren_schonen;1
2019;afrastering;6
2021;baggeren_nvo;2
2021;afrastering;7
2019;afrastering_schonen_nvo;1
2021;afrastering_baggeren_schonen;3
2019;schonen_nvo;3
2020;baggeren_nvo;3
2020;afrastering_baggeren_nvo;1
2018;afrastering_baggeren_schonen;3
2021;afrastering_baggeren_nvo;4
2018;afrastering_baggeren_schonen_nvo;2
2018;afrastering_nvo;1
2021;afrastering_nvo;1
2019;afrastering_schonen;1
2018;afrastering_baggeren;1
2020;afrastering_schonen_nvo;1
2022;regulier;101
2023;schonen;105
2022;randen;60
2024;schonen;29
2024;baggeren_schonen;44
2023;regulier;72
2023;baggeren_schonen;40
2022;baggeren;53
2023;baggeren_schonen_nvo;14
2024;schonen_nvo;1
2022;baggeren_schonen_nvo;9
2022;afrastering_schonen;7
2022;baggeren_schonen;18
2023;afrastering_schonen;8
2024;regulier;73
2022;schonen;23
2023;baggeren;28
2024;baggeren;14
2023;randen;38
2024;afrastering;12
2024;randen;26
2022;nvo;4
2022;afrastering;7
2022;afrastering_baggeren_nvo;2
2022;baggeren_nvo;4
2022;afrastering_baggeren_schonen;2
2023;afrastering_nvo;6
2024;afrastering_schonen;2
2024;baggeren_schonen_nvo;3
2022;schonen_nvo;5
2022;afrastering_schonen_nvo;2
2022;afrastering_nvo;4
2024;afrastering_baggeren_schonen;2
2023;afrastering;4
2023;nvo;2
2024;afrastering_baggeren_nvo;1
2024;afrastering_baggeren;1
2023;schonen_nvo;2
2023;afrastering_baggeren_schonen;2
2023;afrastering_baggeren_nvo;1
2022;afrastering_baggeren_schonen_nvo;1
